key,export,default,kind,default_source
RELAY3_FUNCTION,1,0,config,code(4.7.0 src)
RELAY4_DEFAULT,0,1,config,board
RELAY4_FUNCTION,1,0,config,code(4.7.0 src)
RSSI_TYPE,5,0,config,code(4.7.0 src)
SCR_ENABLE,1,0,config,code(4.7.0 src)
SERIAL2_BAUD,115,57,config,code(4.7.0 src)
SERIAL3_BAUD,115,230,config,code(4.7.0 src)
SERIAL4_BAUD,1500,230,config,code(4.7.0 src)
SERIAL6_BAUD,460,57,config,code(4.7.0 src)
SERIAL6_PROTOCOL,2,23,config,board
SERIAL7_BAUD,115,57,config,code(4.7.0 src)
SERIAL7_PROTOCOL,-1,2,config,board
SERIAL8_BAUD,115,57,config,code(4.7.0 src)
SERIAL9_BAUD,460,57,config,code(4.7.0 src)
SERIAL9_PROTOCOL,2,-1,config,code(4.7.0 src)
SERVO1_FUNCTION,33,0,config,code(4.7.0 src)
SERVO1_MAX,2000,1900,config,code(4.7.0 src)
SERVO1_MIN,1000,1100,config,code(4.7.0 src)
SERVO1_TRIM,1000,1500,config,code(4.7.0 src)
SERVO2_FUNCTION,35,0,config,code(4.7.0 src)
SERVO2_MAX,2000,1900,config,code(4.7.0 src)
SERVO2_MIN,1000,1100,config,code(4.7.0 src)
SERVO2_TRIM,1000,1500,config,code(4.7.0 src)
SERVO3_FUNCTION,36,0,config,code(4.7.0 src)
SERVO3_MAX,2000,1900,config,code(4.7.0 src)
SERVO3_MIN,1000,1100,config,code(4.7.0 src)
SERVO3_TRIM,1000,1500,config,code(4.7.0 src)
SERVO4_FUNCTION,34,0,config,code(4.7.0 src)
SERVO4_MAX,2000,1900,config,code(4.7.0 src)
SERVO4_MIN,1000,1100,config,code(4.7.0 src)
SERVO4_TRIM,1000,1500,config,code(4.7.0 src)
SERVO_BLH_AUTO,1,0,config,code(4.7.0 src)
STAT_BOOTCNT,187,0,calibration/identity,code(4.7.0 src)
STAT_DISTFLWN,130.555,0,calibration/identity,code(4.7.0 src)
STAT_FLTCNT,2,0,calibration/identity,code(4.7.0 src)
STAT_FLTTIME,4879,0,calibration/identity,code(4.7.0 src)
STAT_RUNTIME,135117,0,calibration/identity,code(4.7.0 src)
VISO_DELAY_MS,100,10,config,code(4.7.0 src)
VISO_POS_X,0.072,0,config,code(4.7.0 src)
VISO_POS_Y,-0.0375,0,config,code(4.7.0 src)
VISO_POS_Z,-0.116,0,config,code(4.7.0 src)
VISO_TYPE,2,0,config,code(4.7.0 src)
